ds,yhat,yhat_lower,yhat_upper
2014-01-01,78.38826861679478,-8.17700179166078,163.04467989929572
2014-01-02,59.46503011803575,-26.582464024471918,146.721268315984
2014-01-03,68.40532005319184,-18.02870300199911,152.1080045106995
2014-01-04,117.6043110237562,34.0198659808829,202.38223728921167
2014-01-05,70.5436174456833,-12.898801119812486,158.10257805043264
2014-01-06,41.28669086264249,-36.472570426303996,127.23013754858529
2014-01-07,38.471972430734034,-42.86975415013193,124.97750113324985
2014-01-08,63.092361902147815,-16.609769534094696,148.6002470379212
2014-01-09,48.794592026588504,-39.34437907071876,129.5105039320363
2014-01-10,62.67674262055475,-19.83052932257911,149.68853809937482
2014-01-11,117.02241432317558,33.04581109504684,206.2768928706231
2014-01-12,75.19745915437548,-10.818735470202075,156.1890801068469
2014-01-13,51.14790193914992,-38.282656429670354,131.3818339007157
2014-01-14,53.39563598861635,-34.57388918507355,138.5571435438306
2014-01-15,82.8203969896773,1.3648264605713525,169.51968205413067
2014-01-16,72.96155009751854,-4.861283565509593,159.69260671945162
2014-01-18,148.58380870505232,67.59627441232122,223.94841796133596
2014-01-19,109.54803839247832,21.95339145981383,198.36460014161997
2014-01-20,87.59297766468703,4.617546311488004,171.71443298442296
2014-01-21,91.19174211978795,9.411486272006579,171.55627758853873
2014-01-22,121.19106610085946,36.71374617136208,206.5494144500612
2014-01-23,111.11369161926078,25.496487758133675,193.57668824602916
2014-01-24,127.95840150135993,49.70179098290449,209.30222858956495
2014-01-25,183.93616776964345,96.85209888082893,270.74028491155036
2014-01-26,142.3682756780959,60.94073268189536,227.2961554392679
2014-01-27,117.18503368412232,30.520604943847964,203.03146618431936
2014-01-28,116.9216422276255,28.563188635883233,201.90909600043915
2014-01-29,142.4997280318559,55.56926454269509,225.45543489804126
2014-01-30,127.52809472206457,44.1229237183126,213.27314325591
2014-01-31,139.1009010171711,51.96788944420803,224.35521932149666
2014-02-01,189.53177894598156,104.92291231735389,277.13689964609745
2014-02-02,142.24979702475852,62.232611482949174,231.04776100857046
2014-02-03,111.2959253200956,33.81694073352675,200.3741312058239
2014-02-04,105.31662293193654,23.582487978103455,189.25869867704728
2014-02-05,125.34310240387403,39.152646000178734,205.00497113305101
2014-02-06,105.08986865294064,24.737538398586338,184.48715107470852
2014-02-07,111.75078858808777,26.652558855745898,193.1624368313956
2014-02-08,157.7312459715174,73.18243360226461,240.6353737848236
2014-02-09,106.54232493981668,27.97867321671195,198.00469501756896
2014-02-12,81.81876933891738,-6.176750469545061,166.52465379033538
2014-02-13,60.408636523216884,-26.995576807145117,144.63635004584336
2014-02-14,66.67460809445747,-13.990701564878558,148.4608012943669
2014-02-15,113.02221269107174,27.553314160599015,200.23782974867132
2014-02-16,62.947812788983676,-18.962216341264448,145.98497867206274
2014-02-17,30.533958803603316,-56.219124978640785,111.21866292703515
2014-02-18,24.442396959294943,-60.87704544777037,110.78085694803423
2014-02-19,45.69329058077335,-43.988299170664135,123.38548289093029
2014-02-20,27.964246652851827,-53.91899155850403,112.2277745998382
2014-02-21,38.38738741365144,-45.83285327826125,122.2371484908321
2014-02-22,89.28299499724346,12.491738475934401,168.71811610497429
2014-02-23,44.055636562000885,-41.22836786982867,137.85965368244626
2014-02-24,16.69141638803697,-67.3814051344752,104.48687715744491
2014-02-25,15.75295254975352,-72.85370892598564,101.33755267776215
2014-02-26,42.16059780531204,-35.43482388877138,128.19730205774124
2014-02-27,29.493456460542216,-52.13215923391314,112.40570165612179
2014-02-28,44.788397597803176,-30.98820832563426,130.31757556527492
2014-03-01,100.27555476973393,13.22743220663658,172.63614558340765
2014-03-02,59.27618385650969,-25.690042981335854,140.04916633005274
2014-03-03,35.701492657554624,-45.01389893648087,121.18279554867858
2014-03-05,67.1849908521176,-13.148958812143073,146.0439343528183
2014-03-06,56.64638087418486,-28.828750530831723,134.37651115983212
2014-03-07,73.4405362081761,-13.973067002904543,158.6595177818334
2014-03-08,129.7811657317394,44.95972509491147,220.96313864370921
2014-03-09,88.98636732675122,1.880320064282492,172.0799016331755
2014-03-10,64.97736928432107,-20.37685269626206,142.77312461541754
2014-03-11,66.27454889990972,-21.866858037489205,151.92310169853334
2014-03-12,93.77923161461385,14.040201145349991,181.03784444847756
2014-03-13,81.07481528811458,-6.804175045363441,163.9547064406718
2014-03-14,95.22542208678823,11.647954919445054,175.8155974610913
2014-03-16,104.32182095066598,22.630760400185544,190.73079928464614
2014-03-17,76.65985192878898,-7.89246981066753,167.65493828566164
2014-03-18,74.1288794948596,-13.459454870001366,157.73929246953628
2014-03-19,97.7166490245862,13.437574135019922,183.02563697433894
2014-03-20,81.09376431350148,-0.6940740638774695,163.27524229213617
2014-03-21,91.41053091302804,8.275655798757143,168.98573610684434
2014-03-22,141.02985989423445,60.90766956519985,221.99292569210135
2014-03-23,93.42215914244206,15.3502767271216,177.2522925367319
2014-03-24,62.660888157845484,-27.213467515456447,147.81552827587865
2014-03-25,57.415412630735005,-29.430354086304543,135.4393927286945
2014-03-26,78.72972542994694,-3.1724951610323093,163.208819071152
2014-03-27,60.32064009695057,-24.472671200505967,134.57717156451397
2014-03-28,69.37371777389355,-12.055479815308749,152.8815146197011
2014-03-29,118.27548316455487,34.06237783411757,197.7986880991596
2014-03-30,70.50787033294006,-13.723995927647186,153.87303758261575
2014-03-31,40.14358322788921,-45.9294146805699,119.79777111579067
2014-04-01,35.83901113693196,-49.751995500388425,119.36333588365007
2014-04-02,58.61326455509373,-24.675600486011923,139.1642513732744
2014-04-03,42.14693132785604,-40.46211314379208,123.18397829597558
